"Text"," topic "
"استمر المنتخب اليوناني في تفوقه على نظيره المصري في إجمالي عدد مرات الفوز، وفقًا لتاريخ مواجهتهما.","sport"
"استمرار تفوق اليونان","sport"
"البطولة صعبة على جميع الفريق، وبطولات الكؤوس لا تعترف بالمستويات أو التاريخ، كما أن النصر يملك مقومات الفوز بالبطولة، بسبب امتلاكه لاعبين أكفاء، سواء محليين أو محترفين.""","sport"
"إذن لماذا وافقت على القيام بالمهمة؟","sport"
"أتوجه بجزيل الشكر إلى رئيس القادسية السابق، فواز الحساوي، على مدحه لي، وثقته في، بالتأكيد على رغبته في إسناد مهمة تدريب القادسية لي، وهو أمر أكثر من رائع.","sport"
"أضاف بول بوجبا الهدف الثاني لمنتخب فرنسا عند بداية الشوط الثاني، عبر ركلة حرة مباشرة نفذها ببراعة على يمين الحارس.","sport"
"أعلن الاتحاد اللبناني لكرة القدم موعد مباراتي نصف نهائي كأس لبنان، بحيث تقام المباراة الأولى في هذا الدور بين العهد والإخاء الأهلي عاليه يوم الجمعة 6 أبريل/نيسان المقبل.","sport"
"بداية فرص كوستاريكا، بدأت مع الدقيقة 56، حين قام براين رويس، بمحاولة جريئة، لكن حارس تونس، تألق وأخرج الكرة إلى ركلة ركنية.","sport"
"تدريب المنتخب طموح مشروع لجميع المدربين الوطنيين، لكنني لا أطمح لتدريب المنتخب في الوقت الحالي، خاصة وأنني مرتبط بعقد مع نادي النصر.","sport"
"تعرض سيرجيو روميرو، حارس مرمى منتخب الأرجنتين، للإصابة خلال المباراة الودية أمام إسبانيا، المقامة على ملعب واندا ميتروبوليتانو.","sport"
"تعرض عمر جابر، المحترف في لوس أنجلوس الأمريكي، إلى إصابة قوية أثناء تدخله في كرة مشتركة مع أحد لاعبي المنتخب اليوناني.","sport"
"حارس الأرجنتين يغادر ودية إسبانيا للإصابة,""روميرو","sport"
"حاليا أنا مع نادي النصر، وعقدي ينتهي بنهاية الموسم الجاري، وهناك مفاوضات من قبل مجلس إدارة النادي بتجديد عقدي.","sport"
"حرص كوبر على إشراك بعض الوجوه الجديدة في مباراة اليونان من أجل الاطمئنان على مستوياتهم قبل اختيار القائمة النهائية المشاركة بالمونديال.","sport"
"حظيت مباراة المنتخب المصري أمام نظيره اليوناني، التي انتهت بفوز الأخير بهدف دون رد وديًا اليوم ضمن استعدادات الفراعنة لخوض منافسات كأس العالم في الصيف المقبل بالعديد من المشاهد.","sport"
"حقق منتخب تونس، فوزا معنويا ثمينا، على حساب نظيره الكوستاريكي، بهدف نظيف، في إطار المباراة الودية التي جمعت الفريقين، على ملعب نيس بفرنسا.","sport"
"حينما أتلقى العرض الرسمي من قبل القادسية، سيكون لكل حادث حديث.","sport"
"سقط المنتخب الدنماركي لكرة القدم، في فخ التعادل السلبي مع ضيفه التشيلي، في المباراة الودية التي أقيمت بينهما اليوم على استاد """"ألبورج بارك"""" ضمن استعداداته لبطولة كأس العالم 2018 بروسيا.","sport"
"شارك محمد عواد، حارس مرمى الفريق الأول لكرة القدم بفريق الإسماعيلي، في المباراة منذ بدايتها، حيث يسعى الجهاز الفني للفراعنة بقيادة هيكتور كوبر لتجربته قبل المونديال.","sport"
"ظهور الوجوه الجديدة","sport"
"فاز المنتخب الفرنسي، على مضيفه الروسي، بثلاثة أهداف لهدف، في المباراة الودية التي جمعت بينهما اليوم ضمن الاستعداد لمونديال 2018. ","sport"
"في البداية، تلقيت اتصالا هاتفيا من رئيس لجنة التسوية، مشعل الربيع، ثم اتصالا آخر من أحمد عبد الحميد، للتأكيد على قيادة الكويت في مواجهتي مصر وفلسطين.","sport"
"فيما تقام المباراة الثانية بين التضامن صور والنجمة يوم السبت 7 نيسان/أبريل، علمًا بأن المباراتين سيقاما على ملعب """"الشهيد رفيق الحريري"""" في صيدا.","sport"
"كيف سارت المفاوضات لتدريب المنتخب الكويتي الأول؟","sport"
"لا أخفيك سرا في أنني أطمح بالفوز بلقب أغلى الكؤوس الكويتية، وهو الأمر الذي أجهز له اللاعبين فنيا ونفسيا.","sport"
"لا، لم أتلق أي عرض رسمي حتى أقبل أو أرفض، لكن ترشيحي من طرف شخصية مرموقة مثل الحساوي، بتدريب القلعة الصفراء، صاحبة الجماهيرية العريضة والبطولات، شرف كبير.","sport"
"لماذا تم الإبقاء على رادي؟","sport"
"ما رأيك في تصريح الحساوي بإسناد مهمة تدريب القادسية لك حال توليه جهاز الكرة؟","sport"
"ما هو طموحك في بطولة كأس سمو الأمير؟","sport"
"مشاركة عواد","sport"
"مع انطلاقة الشوط الثاني، كاد منتخب تونس أن يضاعف النتيجة في الدقيقة 48، عن طريق نعيم السليتي، لكن الحارس نافاس تصدى لمحاولته.","sport"
